club_name,province,city,city_source,region,website,email,phone,leagues,type,lat,lon,postal_code,place_id,geo_precision,social,contact_person,contact_note,website_status,address,formatted_address,leader,sources,source_count,row_count,oba_affiliated,team_derived,aliases,evidence_url,claimable,domain_claim_ok,domain_claim_reason,last_verified,stale,audience,needs_review
Miramichi River Hoops (River Hoops Basketball Association),New Brunswick,Miramichi,source,Miramichi / North Shore,https://leagues.teamlinkt.com/miramichiriverhoops,,,BNB Provincial League (U12-U14); Miramichi River Hoops league,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Miramichi River Hoops (River Hoops Basketball Association),https://leagues.teamlinkt.com/miramichiriverhoops/Schedule,,,unverified-single-source-non-ca,2026-07,,youth,
Moncton Basketball Association (MBA) — Moncton Hawks,New Brunswick,Moncton,source,Moncton & southeast NB,https://www.monctonbasketball.ca/,executivedirector@monctonbasketball.ca,(506) 295-5588,BNB Age Class Provincials (U16 & U18); BNB Provincial Championships U12/U13/U14; BNB Provincial League (U12-U14); BNB U11 Kickoff (Nov) & U11 Spring Finale (Feb); BNB-sanctioned club tournament circuit; BNB-sanctioned club tournament circuit (winter weekends); MBA spring league; Moncton Basketball Association (MBA) recreational; Moncton Basketball Association (MBA) recreational league; spring leagues,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Moncton Basketball Association (MBA) — Moncton Hawks,https://www.monctonbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Moncton Kiwanis Minor Basketball Association (MKMBA) [LEGACY],New Brunswick,Moncton,source,Moncton & southeast NB,https://www.sportsengine.com/org/moncton-kiwanis-minor-basketball-association,executivedirector@mkmba.ca,(506) 384-7614,MKMBA - Moncton Kiwanis Minor Basketball Association (LEGACY); MKMBA - Moncton Kiwanis Minor Basketball Association recreational league (LEGACY),community nonprofit (legacy),,,,,,,,,,,,,census-2026-07,1,1,,,Moncton Kiwanis Minor Basketball Association (MKMBA) [LEGACY],https://www.sportsengine.com/org/moncton-kiwanis-minor-basketball-association,yes,,unverified-single-source-non-ca,2026-07,,youth,
NXT Level Basketball,New Brunswick,Moncton,source,Moncton & southeast NB,https://nxtlevelbasketball.wixsite.com/nxtlevel,nxtlevelbasketball@hotmail.com,506-962-3559,BNB Provincial League (U12-U14),private academy / training business,,,,,,,,,,,,,census-2026-07,1,1,,,NXT Level Basketball,https://nxtlevelbasketball.wixsite.com/nxtlevel,yes,,unverified-single-source-non-ca,2026-07,,youth,
Port Elgin Minor Basketball Association (PEMBA),New Brunswick,Port Elgin,source,Moncton & southeast NB,http://pemba.pointstreaksites.com/view/pemba/,,,,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Port Elgin Minor Basketball Association (PEMBA),http://pointstreak.com/players/players-team.html?teamid=358109&seasonid=8295,,,unverified-single-source-non-ca,2026-07,,youth,
Reds Selects (UNB),New Brunswick,Fredericton,source,Fredericton,https://goredsgo.ca/sports/wbkb/junior_basketball,redsrec@unb.ca,(506) 453-4579,BNB-sanctioned club tournament circuit (winter weekends); BNB-sanctioned spring league/tournament play (regional),university-affiliated youth club program,,,,,,,,,,,,,census-2026-07,1,3,,,Junior Reds Basketball (UNB) | Reds Selects (UNB) | UNB Junior Reds / REDS Selects,https://goredsgo.ca/sports/wbkb/junior_basketball,yes,yes,canadian-tld,2026-07,,youth,
River Valley Basketball Association (RVBA),New Brunswick,Grand Bay-Westfield,source,Saint John area,https://rvba.ca/,,(506) 738-1086,BNB Provincial Championships U12/U13/U14; BNB-sanctioned club tournament circuit (winter weekends); RVBA Spring League; RVBA house league (Grand Bay-Westfield),community nonprofit,,,,,,IG @rivervalley.basketball,,,,,,,"census-2026-07,website-scrape",2,2,,,River Valley Basketball Association (RVBA),https://rvba.ca/,yes,yes,canadian-tld,2026-07,,youth,
Riverview Minor Basketball Association (RMBA),New Brunswick,Riverview,source,Moncton & southeast NB,https://www.rmba.ca/,rmbaexec@gmail.com,,BNB Provincial Championships U12/U13/U14; BNB Provincial League (U12-U14); BNB U11 Kickoff (Nov) & U11 Spring Finale (Feb); Moncton Basketball Association (MBA) recreational; Riverview Minor Basketball Association (RMBA) community league — operator; spring leagues,community nonprofit,,,,,,FB @RMBA1; FB @riverviewminorbasketball; IG @riverviewminorbasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Riverview Minor Basketball Association (RMBA),https://www.rmba.ca/,yes,yes,canadian-tld,2026-07,,youth,
Sackville Basketball Boosters Association (SBBA),New Brunswick,Sackville,source,Moncton & southeast NB (Municipality of Tantramar),https://www.facebook.com/groups/928493714005177/,,,,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Sackville Basketball Boosters Association (SBBA),https://www.basketball.nb.ca/content/find-a-club-association,,,unverified-single-source-non-ca,2026-07,,youth,
Salisbury Petitcodiac Minor Basketball Association (SPMBA),New Brunswick,Salisbury,source,Moncton & southeast NB (serves Salisbury + Petitcodiac),https://salisburybasketball.ca/,info@salisburybasketball.ca,,BNB Provincial Championships U12/U13/U14 (reported); BNB-sanctioned club tournament circuit (winter weekends); Moncton Basketball Association (MBA) recreational; spring leagues,community nonprofit (est. 2015),,,,,,FB @salisburybasketball; FB @salisburyhoops; IG @salisburybasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Salisbury Petitcodiac Minor Basketball Association (SPMBA),https://salisburybasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
South West Regional Minor Basketball Association,New Brunswick,St. George,source,Charlotte County / southwestern NB,https://www.facebook.com/St.Georgebasketball/,,,,community nonprofit,,,,,,FB @St.Georgebasketball,,,,,,,"census-2026-07,website-scrape",2,3,,,South West Regional Minor Basketball Association,https://www.basketball.nb.ca/content/find-a-club-association,,yes,website-corroborated,2026-07,,youth,
Southern Victoria Basketball Club (Southern Victoria Minor Basketball Association),New Brunswick,Perth-Andover,source,Victoria County / upper river valley,https://svba.ca/,,,BNB Provincial League (U12-U14),community nonprofit,,,,,,,,,,,,,census-2026-07,1,2,,,Southern Victoria Basketball Club (Southern Victoria Minor Basketball Association) | Southern Victoria Minor Basketball Association (SVBA),https://www.basketball.nb.ca/content/find-a-club-association,,yes,canadian-tld,2026-07,,youth,
St. Stephen Minor Basketball Association (SSBA),New Brunswick,St. Stephen,source,Charlotte County,https://www.facebook.com/groups/673711246067744/,,,BNB Provincial League (U12-U14),community nonprofit,,,,,,FB @recover,,,,,,,"census-2026-07,website-scrape",2,2,,,St. Stephen Minor Basketball Association (SSBA),https://www.basketball.nb.ca/content/find-a-club-association,,yes,website-corroborated,2026-07,,youth,
Surge Basketball (Saint John Surge),New Brunswick,Rothesay,source,Greater Saint John / Kennebecasis Valley (BNB South),https://www.surgebasketball.com/,surgebasketballacademy@hotmail.com,,BNB Provincial Championships U12/U13/U14; BNB U11 Kickoff (Nov) & U11 Spring Finale (Feb); BNB-sanctioned club tournament circuit (winter weekends),private academy (registered for-profit club),,,,,,,,,,,,,"census-2026-07,website-scrape",2,2,,,Surge Basketball (Saint John Surge),https://www.surgebasketball.com/,yes,yes,website-corroborated,2026-07,,youth,
Sussex Minor Basketball Association,New Brunswick,Sussex,source,Saint John area (Kings County),https://sussexbasketball.sportngin.com/,,(506) 433-9341,Sussex Minor Basketball Association house program,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Sussex Minor Basketball Association,https://sussexbasketball.sportngin.com/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Sweat Academy (Sweat Academy Athlete Development Inc.),New Brunswick,Fredericton / Woodstock / Edmundston (HQ Moncton),source,"Multiple NB regions incl. Fredericton, upper river valley, and northwest",https://www.sweatacademy.com/,sweatacademy@gmail.com,506-380-2255,,"private academy (multi-sport, for-profit)",46.0878165,-64.7782313,,ChIJZRfUGCm5oEwRxGNOOjMKwQ0,APPROXIMATE,,,,,,"Moncton, NB, Canada",,"census-2026-07,geocode",2,4,,,Sweat Academy (Capital City / Western Valley / Madawaska-Victoria branches) | Sweat Academy (Sweat Academy Athlete Development Inc.) | Sweat Academy Player Development Inc.,https://maps.googleapis.com/maps/api/geocode/json,yes,,unverified-single-source-non-ca,2026-07,,youth,
Woodstock Minor Basketball Association,New Brunswick,Woodstock,source,Carleton County / Upper River Valley (BNB Central/West),http://www.woodstockminorbasketball.com/,,,BNB Provincial League (U12-U14); Woodstock Minor Basketball League (own house league),community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Woodstock Minor Basketball Association,https://www.basketball.nb.ca/content/find-a-club-association,,,ambiguous-place-single-source-non-ca,2026-07,,youth,
YFC Elite Basketball Association,New Brunswick,Fredericton,source,Fredericton,https://www.yfc-elite-basketball-association.ca/,yfc.elite.basketball@gmail.com,,BNB Age Class Provincials (U16 & U18); BNB-sanctioned club play (Looking for Games circuit); BNB-sanctioned club tournament circuit (winter weekends),community nonprofit,,,,,,FB @YFCEliteBasketball; IG @yfcelitebasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,YFC Elite Basketball Association,https://www.yfc-elite-basketball-association.ca/,yes,yes,canadian-tld,2026-07,,youth,
YMCA of Fredericton — Youth Basketball (Jr. NBA),New Brunswick,Fredericton,source,Capital region,https://fredericton.ymca.ca/programs/youth-registered-programs-gr-1-8/youth-basketball/,info@ymcafredericton.org,,Jr. NBA Canada,multi-sport org (YMCA charity),45.96355,-66.6431,,,,,,,,,,,"census-2026-07,jrnba-2019",2,4,,,YMCA of Fredericton | YMCA of Fredericton — Youth Basketball (Jr. NBA),https://fredericton.ymca.ca/programs/youth-registered-programs-gr-1-8/youth-basketball/,yes,yes,canadian-tld,2026-07,,youth,
YMCA of Greater Moncton,New Brunswick,Moncton,source,Moncton & southeast NB,https://moncton.ymca.ca/programs/child-youth-programs/,info@ymcamoncton.ca,506-857-0606,,multi-sport org (charitable),,,,,,,,,,,,,census-2026-07,1,1,,,YMCA of Greater Moncton,https://moncton.ymca.ca/programs/child-youth-programs/,yes,yes,canadian-tld,2026-07,,youth,
Avalon Basketball (Avalon Basketball Association / 709 Basketball),Newfoundland & Labrador,St. John's,source,"Newfoundland & Labrador — Avalon (St. John's metro, east end)",https://avalonbasketball.com,admin@709basketball.com,709-689-5332,Avalon Basketball 3v3 League (internal); NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,club program under 709 Basketball umbrella (privately operated club brand; also runs Outer Cove and Southern Shore Goulds programs),,,,,,,,,,,,,census-2026-07,1,1,,,Avalon Basketball (Avalon Basketball Association / 709 Basketball),https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,unverified-single-source-non-ca,2026-07,,youth,
CBN Youth Ball,Newfoundland & Labrador,Conception Bay North,source,Newfoundland & Labrador — Conception Bay North,,,,,community program,,,,,,,,,,,,,census-2026-07,1,1,,,CBN Youth Ball,https://www.newfoundlandlabradorbasketball.com/membership,,,no-website,2026-07,,youth,
CE23 Academy,Newfoundland & Labrador,Paradise,source,Newfoundland & Labrador — Avalon (St. John's metro),https://www.ce23basketball.com,team@ce23basketball.com,709-782-8400,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships; NPH-SL,private academy (own full facility),48.6064556,-56.3330408,,ChIJ-Ycb1AS2cEsREIc5UEfkBg8,APPROXIMATE,,,,,,"Newfoundland, Newfoundland and Labrador, Canada",,"census-2026-07,geocode,ontario-circuit-list",3,4,,,CE23 Academy | CE23 Academy (CE23 Basketball),https://maps.googleapis.com/maps/api/geocode/json,yes,,unverified-single-source-non-ca,2026-07,,youth,
CE23 Academy,Newfoundland & Labrador,Newfoundland,source,Eastern Canada,www.ce23basketball.com,team@ce23basketball.com,709-782-8400,NPH Showcase; NPH-SL,,,,,,,,,,,,,,"census-2026-07,ontario-csv",2,2,,,CE23 Academy,ontario census + enrichment 2026-07-18,yes,yes,website-corroborated,2026-07,,youth,
Central Athletics,Newfoundland & Labrador,Grand Falls-Windsor,source,Newfoundland & Labrador — Central NL,https://central-athletics.square.site,centralathletics@hotmail.com,,,private children's sports business,,,,,,,,,,,,,"census-2026-07,website-scrape",2,2,,,Central Athletics,https://www.facebook.com/people/Central-Athletics/61565938269237/,yes,yes,website-corroborated,2026-07,,youth,
Central Female Basketball,Newfoundland & Labrador,Grand Falls-Windsor,source,Newfoundland & Labrador — Central NL,,,,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,community club (girls-focused),,,,,,,,,,,,,census-2026-07,1,1,,,Central Female Basketball,https://www.newfoundlandlabradorbasketball.com/membership,,,no-website,2026-07,,youth,
Central NL Youth Basketball (Central NL Minor Basketball),Newfoundland & Labrador,Grand Falls-Windsor,source,Newfoundland & Labrador — Central NL,,bcookegfw@hotmail.com,709-486-3136,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,community program/nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Central NL Youth Basketball (Central NL Minor Basketball),https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,no-website,2026-07,,youth,
Central Wolves,Newfoundland & Labrador,Central NL,source,Newfoundland & Labrador — Central NL,,centralwolves@hotmail.com,,,community club team,,,,,,,,,,,,,census-2026-07,1,2,,,Central Wolves,https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,no-website,2026-07,,youth,
Conception Bay North Minor Basketball,Newfoundland & Labrador,Bay Roberts / Conception Bay North area,source,Avalon - Conception Bay North,https://cbnminorbasketball.ca,jamie@rocksports.ca,709-738-3177,Rock Sports Group community minor basketball programs (house-league rec divisions),community minor program operated by private company (Rock Sports Group Inc.),,,,,,,,,,,,,census-2026-07,1,1,,,Conception Bay North Minor Basketball,https://rocksports.ca/basketball/conception-bay-north-minor-basketball/,yes,yes,canadian-tld,2026-07,,youth,
Conception Bay Seeds Youth Initiatives Inc. (CB Seeds Youth Basketball),Newfoundland & Labrador,Conception Bay Centre (Holyrood/Avondale area communities),source,Newfoundland & Labrador — Avalon (Conception Bay Centre),https://www.cbseeds.ca,,,,"community nonprofit (incorporated youth-initiatives org, volunteer-run)",,,,,,,,,,,,,census-2026-07,1,1,,,Conception Bay Seeds Youth Initiatives Inc. (CB Seeds Youth Basketball),https://www.cbseeds.ca/,,yes,canadian-tld,2026-07,,youth,
Corner Brook Shooting Stars Basketball Club,Newfoundland & Labrador,Corner Brook,source,Western Newfoundland,https://www.facebook.com/CornerBrookMinorBasketball/,,,,community club,,,,,,FB @CornerBrookMinorBasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Corner Brook Shooting Stars Basketball Club,https://www.facebook.com/CornerBrookMinorBasketball/,,yes,website-corroborated,2026-07,,youth,
Court College Basketball (Northpoint Sports),Newfoundland & Labrador,St. John's,source,Newfoundland & Labrador — Avalon (St. John's),https://northpointsports.com/court-college,info@northpointsports.ca,709-579-1541,Northpoint Sports Basketball League,private academy / training program inside private sports facility (FIBA-size court + pickleball courts),,,,,,,,,,,,,census-2026-07,1,1,,,Court College Basketball (Northpoint Sports),https://northpointsports.com/court-college,yes,,unverified-single-source-non-ca,2026-07,,youth,
Fogo Island Central Academy basketball (RAMP minor-club registrant),Newfoundland & Labrador,Fogo Island,source,Newfoundland & Labrador — Central NL / Notre Dame Bay,,,,,school-based community program (uncertain),,,,,,,,,,,,,census-2026-07,1,1,,,Fogo Island Central Academy basketball (RAMP minor-club registrant),https://www.newfoundlandlabradorbasketball.com/membership,,,no-website,2026-07,,youth,
FORCE Basketball (FORCE Basketball NL),Newfoundland & Labrador,Surrey,source,Metro Vancouver,,,,,private academy,48.9564842,-54.6083708,,ChIJufBXtvPydksRxp7IiwWJFAo,APPROXIMATE,,,,,,"Gander, NL, Canada",,"census-2026-07,geocode",2,2,,,FORCE Basketball (FORCE Basketball NL) | Force Basketball,https://maps.googleapis.com/maps/api/geocode/json,,,no-website,2026-07,,youth,
FORCE Basketball (FORCE Basketball NL),Newfoundland & Labrador,Gander,source,Newfoundland & Labrador — Central NL,,forcebasketballnl@gmail.com,709-738-3177,,community program,,,,,,,,,,,,,census-2026-07,1,1,,,FORCE Basketball (FORCE Basketball NL),https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,no-website,2026-07,,youth,
Gander Minor Basketball,Newfoundland & Labrador,Gander,source,Central Newfoundland,https://ganderminorbasketball.ca,jon@rocksports.ca,,Rock Sports Group community minor basketball programs (house-league rec divisions),community minor program operated by private company (Rock Sports Group Inc.),,,,,,,,,,,,,census-2026-07,1,1,,,Gander Minor Basketball,https://rocksports.ca/basketball/,yes,yes,canadian-tld,2026-07,,youth,
"Grenfell Jr Warriors (Grenfell Warriors Junior/Youth Basketball, Memorial University Grenfell Campus)",Newfoundland & Labrador,Corner Brook,source,Newfoundland & Labrador — Western NL,https://mun.ca/grenfellcampus/student-life/athletics--recreation/grenfell-warriors-youth-camps----summer-programs/,bmarsden@mun.ca,,Grenfell Warriors Basketball Summer League; NLBA (minor club member),university athletics youth program (multi-sport org),,,,,,FB @MemorialUniversity; FB @memorialu; IG @memorialuniversity,,,,,,,"census-2026-07,website-scrape",2,4,,,"Grenfell Jr Warriors (Grenfell Warriors Junior/Youth Basketball, Memorial University Grenfell Campus) | Grenfell Junior Warriors (Grenfell Campus Athletics youth basketball)",https://www.newfoundlandlabradorbasketball.com/membership,yes,yes,canadian-tld,2026-07,,youth,
Labrador West Miner Basketball,Newfoundland & Labrador,Labrador City,source,Newfoundland & Labrador — Labrador West (Labrador City/Wabush),,,,,community program,,,,,,,,,,,,,census-2026-07,1,1,,,Labrador West Miner Basketball,https://www.newfoundlandlabradorbasketball.com/membership,,,no-website,2026-07,,youth,
Mount Pearl Minor Basketball Association (MPMBA),Newfoundland & Labrador,Mount Pearl,source,Avalon - St. John's metro,http://mountpearlbasketball.com,mp.minor.bb@gmail.com,,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Mount Pearl Minor Basketball Association (MPMBA),https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,unverified-single-source-non-ca,2026-07,,youth,
Next Level Basketball Training (NLBT),Newfoundland & Labrador,St. John's,source,Newfoundland & Labrador — Avalon (St. John's + Southern Shore/Bay Bulls),https://www.nlbt.ca,info@nlbt.ca,709-690-5255,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Next Level Basketball Training (NLBT),https://www.nlbt.ca/,yes,yes,canadian-tld,2026-07,,youth,
Outer Cove Basketball,Newfoundland & Labrador,Outer Cove,source,Newfoundland & Labrador — Avalon (Outer Cove / Torbay / St. John's East End),https://avalonbasketball.com/709-programs/blog-post-title-three-7l8bn-4jgt7-zykn5,admin@709basketball.com,,NLBA Minor Club League,community club program operated by Avalon Basketball Association / 709 Basketball,,,,,,FB @2008,,,,,,,"census-2026-07,website-scrape",2,2,,,Outer Cove Basketball,https://avalonbasketball.com/709-programs/blog-post-title-three-7l8bn-4jgt7-zykn5,yes,yes,website-corroborated,2026-07,,youth,
Paradise Minor Basketball,Newfoundland & Labrador,Paradise,source,Newfoundland & Labrador — Avalon (St. John's metro),https://paradiseminorbasketball.ca,jon@rocksports.ca,709-730-2763,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships; Rock Sports Group community minor basketball programs (house-league rec divisions),community club operated by private multi-sport operator (Rock Sports Group Inc.),,,,,,,,,,,,,census-2026-07,1,1,,,Paradise Minor Basketball,https://paradiseminorbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Rain City Athletics,Newfoundland & Labrador,St. John's,source,Newfoundland & Labrador — Avalon (St. John's),https://www.raincitynl.com,hello@raincitynl.com,,,private academy (youth sports academy),,,,,,FB @raincitynl; IG @raincitynl,,,,,,,"census-2026-07,website-scrape",2,2,,,Rain City Athletics,https://www.facebook.com/raincitynl/,yes,yes,website-corroborated,2026-07,,youth,
River Ratz Basketball Association (Aspire Recreation / North River Recreation),Newfoundland & Labrador,North River,source,Newfoundland & Labrador — Conception Bay North,https://www.facebook.com/northriverrec/,aspire.rec@outlook.com,,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships,"community nonprofit (program of Aspire Recreation / North River Recreation, a not-for-profit serving North River & surrounding CBN communities)",,,,,,,,,,,,,census-2026-07,1,1,,,River Ratz Basketball Association (Aspire Recreation / North River Recreation),https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,unverified-single-source-non-ca,2026-07,,youth,
Riverside Raptors Basketball,Newfoundland & Labrador,Newfoundland & Labrador,source,Newfoundland & Labrador — location unconfirmed,,,,,community club (unconfirmed),,,,,,,,,,,,,census-2026-07,1,1,,,Riverside Raptors Basketball,https://www.newfoundlandlabradorbasketball.com/membership,,,no-website,2026-07,,youth,
Rock Sports Group Inc. (Rock Sports Academy),Newfoundland & Labrador,St. John's,source,Avalon - St. John's metro,https://www.rockelite.ca,jon@rocksports.ca,709-738-3177,NLBA Minor Club League; NLBA Minor Club Provincial Basketball Championships; Rock Sports Group community minor basketball programs (house-league rec divisions),private academy (elite arm of Rock Sports Group Inc.),,,,,,,,,,,,,census-2026-07,1,3,,,Rock Elite Basketball Club | Rock Sports Group Inc. (Rock Sports Academy) | St. John's Minor Basketball (SJMB),https://rocksports.ca/basketball/,yes,yes,canadian-tld,2026-07,,youth,
Southern Shore Goulds Basketball (Goulds Basketball Association / Southern Shore Basketball Association),Newfoundland & Labrador,Goulds (St. John's),source,Avalon - Southern Shore & Bay Bulls,gouldsbasketball.ca (registry-listed; not resolving July 2026),info@709basketball.com,,NLBA Minor Club League,community club program operated by private brand (709 Basketball),47.4465263,-52.77168760000001,,ChIJ_7UsICiWDEsRV-9FsWV4ZX8,APPROXIMATE,,,,,,"Goulds, St. John's, NL, Canada",,"census-2026-07,geocode",2,4,,,Goulds Basketball Association (Southern Shore - Goulds / Shore Basketball) | Southern Shore Goulds Basketball (Goulds Basketball Association / Southern Shore Basketball Association),https://maps.googleapis.com/maps/api/geocode/json,yes,,unverified-single-source-non-ca,2026-07,,youth,
Torbay Minor Basketball,Newfoundland & Labrador,Torbay,source,Avalon - northeast Avalon,https://torbayminorbasketball.ca,jon@rocksports.ca,,Rock Sports Group community minor basketball programs (house-league rec divisions),community minor program operated by private company (Rock Sports Group Inc.),,,,,,,,,,,,,census-2026-07,1,1,,,Torbay Minor Basketball,https://rocksports.ca/basketball/,yes,yes,canadian-tld,2026-07,,youth,
Western Avalanche Basketball Club,Newfoundland & Labrador,Corner Brook / Humber Valley region,source,"Newfoundland & Labrador — Western NL (Humber Valley, Corner Brook–Deer Lake corridor)",https://www.facebook.com/profile.php?id=61565000000000,wabcavalanche@gmail.com,,,community rep/travel club (new),,,,,,,,,,,,,census-2026-07,1,2,,,Western Avalanche Basketball Club,https://www.newfoundlandlabradorbasketball.com/minor-clubs,yes,,unverified-single-source-non-ca,2026-07,,youth,
902 Hoops (902 Hoops Elite Youth League),Nova Scotia,Halifax,source,"Halifax Regional Municipality, NS",https://902hoops.ca/,902hoopsns@gmail.com,(782) 234-7481,902 Hoops Elite Youth League (own product),private league operator,,,,,,,,,,,,,census-2026-07,1,1,,,902 Hoops (902 Hoops Elite Youth League),https://902hoops.ca/,yes,yes,canadian-tld,2026-07,,youth,
Acadia Minor Basketball,Nova Scotia,Wolfville,source,Rest of Nova Scotia,https://www.acadiaminorbasketball.ca/,,1-902-670-7936,,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Acadia Minor Basketball,https://valleyfamilyfun.ca/basketball/,yes,yes,canadian-tld,2026-07,,youth,
Amherst Minor Basketball Association (AMBA),Nova Scotia,Amherst,source,Rest of Nova Scotia,https://sites.google.com/view/amherstminorbasketball,amherstminorbasketball@gmail.com,,Atlantic Elite Basketball League (AEBL); BNS Provincial Club Championships,community nonprofit,,,,,,FB @AmherstMinorBasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Amherst Minor Basketball Association (AMBA),https://sites.google.com/view/amherstminorbasketball,yes,yes,website-corroborated,2026-07,,youth,
Annapolis County Athletics,Nova Scotia,Annapolis County,source,Annapolis Valley (Annapolis County),https://www.facebook.com/groups/383677184448811/,steveyoung902@gmail.com,,BNS Provincial Club Championships,multi-sport org,,,,,,FB @recover,,,,,,,"census-2026-07,website-scrape",2,2,,,Annapolis County Athletics,https://basketballnovascotia.ca/content/member-clubs,yes,yes,website-corroborated,2026-07,,youth,
Antigonish Minor Basketball Association (AMBA),Nova Scotia,Antigonish,source,Rest of Nova Scotia,https://playfinder.ca/Org/AntBkblAMBB,antigonishbasketball@gmail.com,,Atlantic Elite Basketball League (AEBL); BNS Provincial Club Championships,community nonprofit,,,,,,FB @AntigonishBball; FB @AntigonishMinorBasketball; IG @antigonishminorbasketball; IG @playfindercup,,,,,,,"census-2026-07,website-scrape",2,2,,,Antigonish Minor Basketball Association (AMBA),https://basketballnovascotia.ca/content/member-clubs,yes,yes,canadian-tld,2026-07,,youth,
Axe Basketball Club,Nova Scotia,Kentville (serves Hantsport to New Minas corridor),source,Annapolis Valley,https://www.axebasketball.ca/,axebasketballclub@gmail.com,,BNS Provincial Club Championships; Metro Basketball Association (MBA / Metro Basketball League),community nonprofit,45.0917657,-64.35975719999999,,ChIJAz6bZAhVWEsRRXK4ysz9kbk,APPROXIMATE,FB @2008; FB @AxeBasketballClub,,,,,"Wolfville, NS, Canada",,"census-2026-07,geocode,website-scrape",3,5,,,Axe Basketball Club,https://maps.googleapis.com/maps/api/geocode/json,yes,yes,canadian-tld,2026-07,,youth,
Basketball Association of Kentville,Nova Scotia,Kentville,source,Rest of Nova Scotia,https://www.facebook.com/BasetballAssociationofKentville/,shotclock2016@gmail.com,,Basketball Association of Kentville; Basketball Association of Kentville (own house league),community nonprofit,,,,,,FB @BasetballAssociationofKentville,,,,,,,"census-2026-07,website-scrape",2,2,,,Basketball Association of Kentville,https://valleyfamilyfun.ca/basketball/,yes,yes,website-corroborated,2026-07,,youth,
Basketball Cape Breton,Nova Scotia,Sydney / Glace Bay (CBRM),source,Cape Breton,https://linktr.ee/basketballcb,summer2026@basketballcapebreton.com,,BNS Provincial Club Championships; Basketball Cape Breton Summer League,community nonprofit,,,,,,FB @BasketballCB; IG @BasketballCapeBreton,,,,,,,"census-2026-07,website-scrape",2,2,,,Basketball Cape Breton,https://basketballnovascotia.ca/content/member-clubs,yes,yes,website-corroborated,2026-07,,youth,
Bedford Eagles Minor Basketball Association (Bedford Minor Basketball Association),Nova Scotia,Bedford,source,"Halifax Regional Municipality, NS",https://bedfordeagles.ca/,bmbaregistrar@gmail.com,,BNS Provincial Club Championships; Metro Basketball Association (MBA),community nonprofit,,,,,,IG @bedford.eagles.basketball,,,,,,,"census-2026-07,website-scrape",2,4,,,Bedford Eagles Minor Basketball Association (Bedford Minor Basketball Association) | Bedford Minor Basketball Association (Bedford Eagles),https://bedfordeagles.ca/,yes,yes,canadian-tld,2026-07,,youth,
Cape Breton Dream Girls Basketball,Nova Scotia,Sydney,source,Rest of Nova Scotia,https://sites.google.com/view/cbdreambasketball/home,cbdreambasketball@gmail.com,,BNS Provincial Club Championships,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Cape Breton Dream Girls Basketball,https://basketballnovascotia.ca/content/member-clubs,yes,,unverified-single-source-non-ca,2026-07,,youth,
Colchester Basketball Association,Nova Scotia,Truro,source,Rest of Nova Scotia,https://www.facebook.com/groups/69056384036/,cba.trurobball@gmail.com,,BNS Provincial Club Championships,community nonprofit,,,,,,FB @recover,,,,,,,"census-2026-07,website-scrape",2,2,,,Colchester Basketball Association,https://basketballnovascotia.ca/content/member-clubs,yes,yes,website-corroborated,2026-07,,youth,
