Club Name,Province,Region,City,Address,Phone,Email,Website,Owner/Principal,Programs,Leagues,Team-League Map,Type,Software,Confidence,Source,Notes
Fraser Valley Unity Ball,British Columbia,Fraser Valley,Fraser Valley (city not published),,,jackiecraven7@gmail.com,https://www.facebook.com/fvbball/,Jackie Craven — Basketball BC registry contact,Club basketball,,,community nonprofit,,primary,https://basketball.bc.ca/clubs/member-clubs-2025-26/,Basketball BC 2025-26 member club; basketball604 lists 'Fraser Valley Basketball Association' Facebook page in Surrey/Delta section — possibly the same org
Strathcona Basketball,British Columbia,Metro Vancouver,Vancouver,"Strathcona Community Centre, 601 Keefer Street, Vancouver, BC V6A 3V8",604-713-1838,strathcc@vancouver.ca,https://www.facebook.com/StrathconaBasketball/,"Ron Suzuki — Recreation Coordinator, Strathcona Community Centre (long-time program organizer)",Community basketball program (Strathcona neighbourhood),,,community nonprofit,,uncertain,https://basketball604.com/basketball-clubs/,"Community association program (not private academy): 'no kids turned away' youth basketball for Downtown Eastside kids, run out of Strathcona Community Centre; feeds SWBL women's league. Address/phone/email are the community centre's (program's listed phone in Basketball604 = centre's 604-713-1838). Principal per Vancouver Is Awesome/Courier coverage (dated ~2014; verify current); other long-time organizers: Mitra Tshan, Cindy Sengsavang. strathconabasketball.com DNS not resolving at research time (Jul 2026) though still indexed — Facebook/Instagram (@strathbball) active. DISAMBIGUATION: sbahoops.ca 'Strathcona Basketball Association' (RAMP) is Sherwood Park, ALBERTA — different org, do not merge. Sources: https://www.strathconabasketball.com/club ; https://basketball604.com/basketball-clubs/ ; https://www.vancouverisawesome.com/courier-archive/sports/basketball-nba-pumps-up-strathcona-2986237 ; https://vancouver.ca/parks-recreation-culture/strathcona-community-centre.aspx"
PlayMakers Basketball,British Columbia,Metro Vancouver & Fraser Valley,Richmond,,,,https://playmakersbball.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Richmond section)
Vic Howlers Basketball,British Columbia,"Vancouver Island, BC",Victoria,"2970 Jutland Road, Victoria, BC V8T 5K2 (primary practice: Selkirk Montessori School)",,office@vichowlers.ca,https://vichowlers.ca/,,"Boys U11 (Gr 3-5) and U13 (Gr 6-7) teams; season Sept-Feb/Mar, 1 practice + 1 game weekly",Victoria Night League (V&DABA),U11 and U13 boys teams → Victoria Night League,community club (nonprofit status not stated),,primary,https://vichowlers.ca/,
Dime Valley Basketball,British Columbia,"Vancouver Island, BC","Courtenay (Comox Valley; also serves Campbell River, Oceanside, Powell River)",,,dimevalleybasketball@gmail.com,https://www.dimevalleybasketball.ca/,,"Established 2022: Spring Club competitive teams (boys & girls U13/U15/U17 historically), Spring Academy (rec), summer camps, tiered Fall Development, Winter City League; year-round K-Gr 12",Dime Valley Winter City League (own); BC club tournament circuit (spring); Comox Valley Athletic Association (CVAA) basketball,U13/U15/U17 boys & girls club teams → spring tournament circuit; rec players → own Winter City League,community club,WordPress site with own registration flow,primary,https://www.dimevalleybasketball.ca/programs,Merged with CVAA in 2022 — CVAA registration flows through Dime Valley. Old .com domain has a broken cert; .ca is live.
ProHop Basketball Club,British Columbia,BC — Thompson-Okanagan (Interior & North),Kamloops,,250-319-4069,vikingsvb@gmail.com,https://vikingsvb.wixsite.com/prohopbasketball,Neil (surname not published on site) — founder/head coach,"Age-class club travel teams (April–July), fall/winter group training Gr 5–12, individual/small-group training, summer camps, mini-leagues; serves Kamloops, Valleyview, Merritt, Ashcroft; operating since 2008","ProHop 'The Classic' tournament (hosts, 64 teams U13–U17); regional tournament circuit (Kelowna, Penticton, Calgary, Seattle, Vancouver)",U13–U17 travel teams play spring regional tournaments incl. own tournament The Classic,private academy,TeamSnap (go.teamsnap.com registration),verified,https://vikingsvb.wixsite.com/prohopbasketball,Self-described 'Kamloops and area's largest youth basketball club'
ELEVATE Basketball Inc.,British Columbia,Metro Vancouver,Surrey (South Surrey / White Rock),,,elevateyourgame.info@gmail.com,http://elevateyourgame.ca,Steve Janzen (Owner & Director),"Club teams U10-U17/18 boys & girls, fall/winter/spring seasons",,,private academy,,primary,https://elevateyourgame.ca/program-calendar/surrey-b-c/south-surrey-club-teams/,"Primary club-team provider for the South Surrey/White Rock area alongside DRIVE | Private academy/club (Inc.), founded 2013 (per https://basketball604.com/basketball-clubs/). Principal confirmed on own About page (https://elevateyourgame.ca/about-elevate/): Steve Janzen — former pro player, Owner & Director, also secondary-school teacher/coach. Program directors: Mark Reimer (Hoops Nights & Camps), Kris Galindez (Club Teams). Program-specific emails: elevateyourgame.hoopsnights@gmail.com, elevateyourgame.basketballcamps@gmail.com, elevateyourgame.clubteams@gmail.com, elevateyourgame.privatetraining@gmail.com. No phone or street address published (contact page https://elevateyourgame.ca/contact/ is form-only). Registration handled on own WordPress site (/registration/) — no third-party sports platform detected. IG @elevatebask. Note Basketball604 spells founder 'Steve Jansen'; club's own site spelling 'Janzen' used here."
Capital City Hoopsters,British Columbia,Vancouver Island,Victoria,,,,,,Registers youth teams in the Victoria night league (details not published),V&DABA Night League (Victoria and District Amateur Basketball Association),Named on V&DABA member-association list 2025-26,community nonprofit,,reported,https://www.vicbball.com/contact-page.html,No independent web presence found; evidence limited to V&DABA member list.
Jump Play Learn Canada,British Columbia,Metro Vancouver (Fraser River / Vancouver-Coastal),Vancouver,,604-258-8390,info@jumpplaylearn.ca,https://www.jumpplaylearn.ca,Juan Paolo Lamasan — Basketball BC registry contact,Youth basketball programs,,,private academy,,primary,https://basketball.bc.ca/clubs/member-clubs-2025-26/,Basketball BC 2025-26 member club; operates in Fraser River and Vancouver-Coastal regions
More Heart Basketball,British Columbia,Metro Vancouver,Vancouver,,,,https://www.facebook.com/MoreHeartBasketball/,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,"Private training club/academy, founded 2020 per Basketball604 club directory (https://basketball604.com/basketball-clubs/). Social-only presence: Facebook facebook.com/MoreHeartBasketball (page live, shows 'MHB' branding but About tab exposes no contact info to non-logged-in visitors) and Instagram @moreheartbasketball. No standalone website, email, phone, address, or principal name found via web search, Facebook, or directories. No registration-platform footprint found."
R1ze Athletic Academy,British Columbia,Metro Vancouver & Fraser Valley,Coquitlam,,,,https://www.r1zeathleticacademy.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Tri-Cities section)
3D Basketball Academy,British Columbia,Metro Vancouver (North Shore),North Vancouver,,,,https://www.3dbasketball.net,,Academy training; co-powers the Canada West Hoops UA Next program with Vancouver Sports Club,UA Rise / Under Armour Next circuit — Canada West Hoops,Top players feed Canada West Hoops UA Next travel teams (15U-17U),private academy,,reported,https://basketball604.com/basketball-clubs/,From Basketball604 directory (North/West Van section)
West Coast Basketball,British Columbia,Metro Vancouver (Surrey/Delta),Surrey,,,,https://www.westcoastbasketball.com,,,,,private academy,,reported,https://basketball604.com/basketball-clubs/,Directory also lists a separate Facebook-only 'West Coast Basketball Club'
Sooke Basketball Club,British Columbia,Vancouver Island,Sooke,,,,https://www.sookebasketballclub.com/,,"Established 1996: grades 3–5 house league (4 teams of ~10), club teams (U9 girls, U17 girls, U13/U15/U17 boys), youth camps",Sooke grades 3-5 house league (club-run); Sooke grades 3-5 house league (own); Vancouver Island club tournament circuit,"House league run locally in Sooke; U17 boys and other club teams travel to tournaments (e.g., Best in the West, Vancouver)",community nonprofit,Weebly site (sookebasketballclub.weebly.com),primary,https://www.sookebasketballclub.com/,
GW Hoops (GoodWin Hoops),British Columbia,BC Interior — Okanagan,Kelowna,,,dani@goodwinhoops.com,https://www.goodwinhoops.com/,"Mitch Goodwin — Founder/Coach; also League Commissioner of the Okanagan Basketball League, ops manager for Junior All Native Tournament, Basketball BC 2026 Summer Games coordinator (Kelowna)","Camps & clinics year-round, Early Risers morning training, Winter Academy, spring/fall/summer leagues, competitive travel teams (spring/fall/winter), private lessons, 3x3 events (Blacktop Classic, Kelowna Made Festival); elementary through senior high",Okanagan Basketball League; GW Hoops internal Spring/Fall/Summer Leagues,Travel teams play tournament circuit incl. GW Hoops Jamboree (own event); in-house players in GW spring/fall/summer leagues; OBL link published via Basketball BC profile of Goodwin,private academy,,verified,https://www.goodwinhoops.com/,"Basketball BC member club 2025-26 (listed as 'Goodwin Hoops', contact Danica Arseneault darseneault91@gmail.com). Canada Basketball Verified — claims only such program in the Interior. NEW LEAGUE INTEL: 'Okanagan Basketball League' not in our mapped list."
Next Level Basketball,British Columbia,BC Interior — Okanagan,Vernon,,,,https://www.nlbasketball.ca/,,,,,private academy,,uncertain,https://www.nlbasketball.ca/,Surfaced in search results as 'Next Level Basketball Vernon BC' but domain did not resolve during research (July 2026) — possibly defunct. Verify before outreach.
Born2Grind Athletics,British Columbia,Metro Vancouver,Pitt Meadows,Pitt Meadows Recreation Centre (Tuesday sessions),,,https://born2grindathletics.com/,,Year-round weekly training sessions for youth,,,private academy,,reported,https://born2grindathletics.com/,
Goodwin Hoops (GW Hoops),British Columbia,BC — Thompson-Okanagan (Interior & North),Kelowna,,,dani@goodwinhoops.com,https://www.goodwinhoops.com/,Mitch Goodwin — Founder/Coach; Dani (Danica) Arseneault — Operations Manager (also Basketball BC registry contact),"Competitive travel teams (multiple age groups), winter/spring/fall/summer leagues, day camps, clinics, private lessons, Early Risers program, 3x3 tournaments (Blacktop Classic, Kelowna Made Festival)",GW Hoops in-house winter/spring/fall/summer leagues; regional tournament circuits (incl. Kelowna Hoopfest),,private academy,,verified,https://www.goodwinhoops.com/,Basketball BC member club 2025-26; founder Mitch Goodwin is also a co-founder of FYBA
RainCity Basketball,British Columbia,Metro Vancouver,Vancouver,,604-961-5768,info@raincitybasketball.ca,https://www.raincitybasketball.ca/,,"Club teams U10-U18 boys & girls, skills camps ages 6+, Jr NBA camps, private/small-group training, Drip League, 3x3 tournament",The Drip League (own),,private academy,,verified,https://www.raincitybasketball.ca/,"Venues: Notre Dame Regional Secondary, Templeton Secondary, Trout Lake CC and others"
Dynamite Basketball,British Columbia,Metro Vancouver,Vancouver,,,,https://www.dynamitebasketball.com,Brodan Thiel — Co-Founder; Louis Johnson — Co-Founder,,,,private academy,,reported,https://basketball604.com/basketball-clubs/,"Private academy / elite club (camps, teams, year-round sessions). Thiel: M.Ed. Positive Coaching, Basketball BC U17 asst / U14 head provincial coach, ex-St. George's School coordinator. Johnson: ex-CCAA Player of the Year, 12+ yrs coaching (Lord Byng, St. George's), Basketball BC regional asst. Registration platform: Team Sports Admin (dynamitebasketball.teamsportsadmin.com) — competitive intel. Site publishes contact FORM only — no email/phone/address found (a (813) 907-5529 number in search results is a Florida area code, almost certainly a different 'Dynamite' org — excluded). Sources: https://www.dynamitebasketball.com/our-story/ (co-founders), https://www.dynamitebasketball.com/contact-us/ (form-only contact), https://dynamitebasketball.teamsportsadmin.com/events (platform)."
MacHoops Basketball,British Columbia,Metro Vancouver & Fraser Valley,Richmond,,,,https://twitter.com/machoopsbball,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,Twitter-only presence in Basketball604 directory
Athelite Basketball,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,,,http://www.athelitebasketball.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Surrey/Delta section)
Spotters Basketball,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,,,https://www.facebook.com/spottersbball,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,Facebook-only presence in Basketball604 directory
DD Nation Basketball,British Columbia,Metro Vancouver & Fraser Valley,Langley,,,,https://www.facebook.com/DDNationVentures,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,Facebook-only presence in Basketball604 directory
The Watchman Academy,British Columbia,Vancouver Island-Central Coast (Basketball BC region),Vancouver Island (city unconfirmed),,,thewatchmanacademymentorship@gmail.com,,Ayodeji Ipaye — Basketball BC registry contact (role not stated),Basketball BC member club (Vancouver Island-Central Coast region); programs not published online,,,private academy (mentorship-branded; inferred from name/email),,uncertain,https://basketball.bc.ca/clubs/member-clubs-2025-26/,Listed in Basketball BC 2025-26 member registry under Vancouver Island-Central Coast; no independent web presence found in multiple searches.
Gryphons Basketball,British Columbia,Vancouver Island,Victoria,,,,,,Registers youth teams in the Victoria night league (details not published),V&DABA Night League (Victoria and District Amateur Basketball Association),Named on V&DABA member-association list 2025-26,community nonprofit,,uncertain,https://www.vicbball.com/contact-page.html,"No independent web presence found (searches surface Guelph Gryphons, Ontario). Evidence limited to V&DABA member list."
Kamloops Kings Court,British Columbia,BC — Thompson-Okanagan (Interior & North),Kamloops,,,,https://kamloopskingscourt.leagueapps.com/,Ryan Porter — Founder (former UCC Sun Demons player; founded 2019),"3x3 youth city basketball league (spring + fall seasons), summer camps",Kamloops Kings Court 3x3 Youth City Basketball League (own),Youth teams play in Kings Court's own 3x3 city league (spring and fall schedules published),private league operator / academy,LeagueApps (kamloopskingscourt.leagueapps.com; kamloopskingscourt.com redirects to LeagueApps portal),verified,https://kamloopskingscourt.leagueapps.com/,"Note: separate 'KamHoops' org on TeamLinkt in Kamloops runs adult-only leagues (men's/women's open, 35+ sportsmen) — excluded from census as adult-only"
Legacy North Academy,British Columbia,BC — Thompson-Okanagan (Interior & North),Enderby (North Okanagan/Shuswap area),,,ben@legacynorthacademy.com,https://www.legacynorthacademy.com/,'Coach Eby' — founder/lead (contact email ben@legacynorthacademy.com; full name not published),"Beginner skills series, advanced clinics, traveling events, personal coaching, After Hours Hoops, Mindset 12 mental-performance program; first-time players to college-bound athletes",,,private academy,,primary,https://www.legacynorthacademy.com/about-us,Hosts 'Proving Grounds' competitive sessions in Enderby area; has run guest skill-development programs for Revelstoke Youth Basketball; basketball + mental wellness focus
Dream Hoops Academy,British Columbia,Metro Vancouver,Vancouver,"140 East 11th Avenue, Vancouver, BC V5T 2C1 (St. Patrick's High School gym)",778.387.4543,dreamhoopsacademy@gmail.com,https://dreamhoops.net,"Nap Santos — Co-Founder (also head coach, St. Patrick's Secondary varsity)",,,,private academy,,reported,https://basketball604.com/basketball-clubs/,"Private academy + house league operator (Dream Hoops Development League, grades 2-12, est. 2012, 'BC's largest open youth basketball league'). Registration platform: RecLeague.net (recleague.net/dhdl) — competitive intel; also listed in City of Vancouver ActiveCommunities (ActiveNet) catalog. dreamhoops.net DNS failed direct fetch; contact details from search-indexed site pages. Other co-founder name not found. Sources: https://dreamhoops.net/contact-us (address/phone/email via search snippet), https://dreamhoops.net/coaches (Santos co-founder via search snippet), https://www.recleague.net/dhdl (platform), https://ca.apm.activecommunities.com/vancouver/activity_search/dream-hoops-basketball-academy/5590 (ActiveNet listing)."
Academy Basketball,British Columbia,Metro Vancouver (Burnaby–Tri-Cities programs),Vancouver,,778.835.3632,,https://www.academybasketball.com,Mark Starkey — Founder,Club basketball programs; runs a Nike 3-on-3 league for Burnaby–Tri-Cities,Academy Basketball Nike 3-on-3 League (own),,private academy,,reported,https://www.academybasketball.com/programs/nike-3-on-3-league,"Private academy ('Basketball for the Modern Athlete', The Vancouver Basketball Academy brand, East & West Vancouver locations, launched 2018). Head Coach: Adriano Catena (ex-pro, ex-UBC women's assistant). Registration via own Webflow site (/programs-2/) — no third-party platform. Linked nonprofit arm: vancouverbasketball.org. NOTE: founder Mark Starkey also sits on Night Hoops Basketball Society board (cross-club connector). Contact page offers text/DM only — no email or street address published. Sources: https://www.academybasketball.com/coach/mark-starkey (founder), https://www.academybasketball.com/contact (phone), https://www.academybasketball.com/coach/adriano-catena (head coach)."
Journey Basketball,British Columbia,Metro Vancouver,Vancouver,,,journeybasketball2020@gmail.com,http://www.journeybasketball.ca,Derick Gonzales — Head Coach,,,,private academy,,reported,https://basketball604.com/basketball-clubs/,"Private academy/program founded 2020. Head coach Derick Gonzales per Basketball604 directory; club site references 'Coach Derick' and 'Coach Arnel', plus coach Angelo Santiago. No street address or phone published. Waiver/registration via Google Forms — no RAMP/TeamLinkt/TeamSnap. Instagram @journey_basketball. Sources: http://www.journeybasketball.ca/contact ; https://basketball604.com/basketball-clubs/"
Pursuit Sports Club,British Columbia,Metro Vancouver,Vancouver,,,,https://www.instagram.com/pursuitsportsclub/,Warren Liang (Founder),,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,"Directory listing only, no website | Founder Warren Liang, founded 2021, per Basketball604 club directory (https://basketball604.com/basketball-clubs/). Instagram @pursuitsportsclub is the only online presence found — no website, email, phone, or address discovered. Corroborating context: a Warren Liang from Vancouver (Sir Charles Tupper Secondary) played U SPORTS basketball at Capilano and Dalhousie (https://daltigers.ca/sports/mbkb/2017-18/bios/liang_warren_ncvg) — consistent profile for a club founder but role attribution rests on the Basketball604 listing. Private club/academy type."
West Coast Training,British Columbia,Metro Vancouver (North Shore),North Vancouver,,,,https://www.wctraining.ca/,,Training,,,private academy,,reported,https://basketball604.com/basketball-clubs/,From Basketball604 directory (North/West Van section)
ELEVATE Basketball,British Columbia,Metro Vancouver & Fraser Valley,Langley,,,elevateyourgame.info@gmail.com,https://elevateyourgame.ca/,"Steve Janzen — founder/owner (former pro player, secondary school teacher/coach)","Club teams U10-U17/18 boys & girls (Langley + Surrey/South Surrey), Hoops Nights 10-week development, Rising Stars camps, shooting programs, private training",,,private academy,,primary,https://elevateyourgame.ca/,
X.V. Training Academy,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,,,https://www.xvtrainingacademy.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Surrey/Delta section)
Rookies Sports Club,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,,,https://www.rookiessc.ca,,Youth basketball club,,,private academy,,uncertain,https://www.rookiessc.ca,One secondary source suggests it has ceased operations — status unconfirmed
Mission Basketball,British Columbia,Fraser Valley,Mission,,,info@missionbasketball.ca,https://missionbasketball.ca/,,"Youth league ages 8-14, competitive club teams (spring/summer tryouts), summer camps and 3x3 league, Friday Night Basketball (fall), King of the Court 3x3 tournament; KidSport/JumpStart financial assistance",Mission Basketball Youth League (own); Junior All Native Tournament (JANT) — Bandits Basketball Fest,House players in own youth league (8-14); club teams compete in tournaments incl. BC Basketball Fest,community nonprofit,Square (missionbasketball.square.site),verified,https://missionbasketball.ca/,Founded 2020; 'premier youth club in Mission'
Vic City Basketball,British Columbia,Vancouver Island,Esquimalt,,778-350-3241,viccitybasketball@gmail.com,https://www.viccitybasketball.com/,"Geoff Moffett — Head Coach (20+ yrs coaching, program operating since 2015)",Developmental program ages 8–13: Vic City Basketball Academy (separate boys/girls sessions) + competitive teams with weekly practices and games,V&DABA Night League (Victoria and District Amateur Basketball Association),Competitive teams placed in Greater Victoria Basketball Night League and tournaments,private academy,PlaySport (listing/profile on playsport.com),primary,https://www.viccitybasketball.com/,
3 Point Basketball,British Columbia,Metro Vancouver & Fraser Valley,North Vancouver,,,,https://3pointbasketball.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (North/West Van section)
Splash Basketball,British Columbia,Metro Vancouver & Fraser Valley,North Vancouver,,,,https://www.splashbballbc.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (North/West Van section)
Thrive Basketball,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,778-386-4288,thrivebasketballclub@gmail.com,https://thrivebasketball.ca/,"Rosanna ""Rosie"" Castro (Founder & Head Coach)","Learn to Play, Development League, 10+ competitive club teams, Skills Lab, summer camps; grades 1-12; 300+ players/season across 6 gyms in Surrey & Langley (Willoughby); est. 2018",Thrive Development League (own),,private academy,TeamSnap,primary,https://thrivebasketball.ca/,"Development club since 2018 serving Surrey + Langley. Founder confirmed on own site as 'Coach Rosie — Founder and one of the Head Coaches' (https://thrivebasketball.ca/about-thrive/coach-rosie/); full name Rosanna Castro per Basketball604 directory (https://basketball604.com/basketball-clubs/), which also lists phone 778-386-4288 and email thrivebasketballclub@gmail.com (phone/email are directory-sourced — club's own contact page is form-only). Rosie is a teacher and Athletic Director at Yorkson Creek Middle School (Langley SD35). No HQ street address; programs run out of school gyms (Donna Gabriel Robins Elem 7844 204B St Langley; Lynn Fripps Elem 21020 83 Ave Langley; Maddaugh Elem 19405 76 Ave Surrey; Yorkson Creek Middle 20686 84 Ave Langley — per https://thrivebasketball.ca/contact/). Competitive intel: uses TeamSnap for camp registration (registration.teamsnap.com/form/49687 linked from homepage)."
JR Basketball Club,British Columbia,Metro Vancouver & Fraser Valley,Langley,,,,https://www.jrbasketballclub.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Langley section)
Harbour City Elite,British Columbia,"Vancouver Island, BC",Nanaimo,,,chrisjoseph12@gmail.com,,Chris Joseph — Basketball BC registry contact (role not stated),Basketball BC member club (Vancouver Island-Central Coast region); programs not published online,,,rep/club program (structure not published),,uncertain,https://basketball.bc.ca/clubs/member-clubs-2025-26/,"Basketball BC 2025-26 member, Vancouver Island-Central Coast region. City inferred from name — ""Harbour City"" is Nanaimo's nickname. No website found."
Beyond Basketball,British Columbia,"Vancouver Island, BC",Duncan (Cowichan Valley),"Winter sessions at Queen Margaret's School, Duncan",,,https://beyondbasketball.ca/,"Marlene Donaldson — founder; Michelle Nederlof — co-founder (runs Gr 4-7 Train & Play); Juliet King — program leader (head coach, Quw'utsun Secondary senior girls)","Girls-only, founded ~2023: Grades 4-7 Train & Play skills series (fall/winter/spring, 4-6 weeks), U15 and U17 club teams (new 2025-26), all-female coaching with university/HS alumni mentors",Vancouver Island girls club play/tournaments,,community nonprofit (volunteer-run),,primary,https://ladysmithchronicle.com/2026/01/22/beyond-basketball-looks-to-level-the-court-for-cowichan-valley-girls/,Serves wider Cowichan region incl. Ladysmith/Chemainus — the only dedicated girls club program found between Victoria and Nanaimo.
Taya Hoops Academy,British Columbia,BC Interior — Okanagan,Vernon,,,,https://www.tayahoops.com,"Taya Hanson — founder (retired Canadian pro, Team Canada; ex-ASU/pro in Europe)","Independent elite training: fundamentals, pro-level drills, film study, individualized feedback and mentorship for Vernon youth",,,private academy,,primary,https://www.tayahoops.com,Partners with ACE Hoops Vernon for academy training. Training-only — no teams/league found.
Super Senior Elite,British Columbia,BC North — Cariboo,Williams Lake,,,,,Jeremy LaBelle — head coach,U18 male AAU-style team drawing players from across the BC Interior (incl. 100 Mile House); gives Interior HS players post-season/post-grad competitive opportunity,,"U18 team → Grand Finale tournament, Langley (won gold division, Aug 2025)",community nonprofit,,reported,https://100milefreepress.net/2025/08/18/cariboo-based-u18-basketball-team-beats-out-bigger-cities/,Single-team outfit (news-verified); may operate under/alongside WLBA — unconfirmed.
Just Real Ballers,British Columbia,Metro Vancouver,Vancouver,,,,https://www.instagram.com/justrealballers/,Jessie Bay (Founder),,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,"Directory listing only, no website | Founder Jessie Bay, founded 2020, per Basketball604 club directory (https://basketball604.com/basketball-clubs/). Operates youth programs (ages 5-8 and 9-12) through Vancouver Park Board community centres — West End Community Association / Coal Harbour CC gymnasium (https://westendcc.ca/event/just-real-ballers-basketball-9-12yrs/; https://ca.apm.activecommunities.com/vancouver/Activity_Search/382750). Registration flows through City of Vancouver ActiveNet/ActiveCommunities (competitive intel: parks-rec platform, not a club-owned system). No direct club email/phone published; program bookings go via West End CC (604-257-8333 ext. 1, westendcc@vancouver.ca — venue contact, NOT the club's). Community program operator, not a rep club."
DRIVE Basketball,British Columbia,Metro Vancouver & Fraser Valley,Surrey,"Facility at John Volken Academy, 6911 King George Hwy, Surrey, BC V3W 5A1; also 'The Hoop' facility (formerly Union Basketball)",604-670-4340,,https://drivebasketball.com/,Pasha Bains (co-founder; ex-NCAA D1 Clemson) and Chad Clifford (co-founder; ex-NCAA D1 St. Francis PA),"Club teams, Training Academy ages 5-14, DRIVE Basketball League (DBL) grades 3-10, summer camps ages 6-16, private lessons; operates in 11+ Lower Mainland cities (Vancouver, Surrey, Burnaby, New West, Richmond, Delta, Langley, Cloverdale, North Shore, Tri-Cities, White Rock, Chilliwack)",DRIVE Basketball League (DBL) + in-house spring leagues (own); DRIVE Basketball League (DBL); DRIVE in-house spring leagues,DBL divisions grades 3-10 all abilities; club teams tour tournaments (incl. Seattle area),private academy / league operator,TeamSportsAdmin,primary,https://drivebasketball.com/,Largest private operator in region; since 2004
Excel Basketball,British Columbia,Metro Vancouver & Fraser Valley,Port Coquitlam,"Port Coquitlam, BC",604-809-1876,info@excelbasketball.com,https://excelbasketball.com/,,Jr. Excel ages 5-7; EYBL 3x3 youth league ages 8-12; boys & girls fall/winter and spring seasons ages 8-18; summer camps gr1-9; elite summer prep gr4-9,EYBL 3x3 Youth League (own); AAU circuit,,private academy / league operator,SportsEngine,primary,https://excelbasketball.com/,Director recognized among '100 Most Impactful Boys Grassroots Directors in the Northwest' (Feb 2026); name not published on site
Talib Basketball,British Columbia,Metro Vancouver & Fraser Valley,North Vancouver,,,,https://www.talibbasketball.com,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (North/West Van section)
EK Hoops Training,British Columbia,Metro Vancouver,Surrey,,,,https://www.ekhoopstraining.com,,Training,,,private academy,,reported,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Surrey/Delta section)
Showtime Academy,British Columbia,Metro Vancouver & Fraser Valley,Surrey,,,,https://www.showtimeacademy.net,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,From Basketball604 directory (Surrey/Delta section)
Excel Basketball,British Columbia,Metro Vancouver,Surrey,,,,https://excelbasketball.com/,,Youth basketball programs,,,private academy,,reported,https://excelbasketball.com/,Own site says Surrey; basketball604 directory listed it under Coquitlam/Tri-Cities
Force Basketball,British Columbia,Metro Vancouver,Surrey,,,,,,,,,private academy,,uncertain,https://basketball604.com/basketball-clubs/,Directory listing only
Roots Sports Club,British Columbia,BC — Thompson-Okanagan (Interior & North),Vernon / Lake Country,,,,https://www.rootssportsclub.ca/,Ed Lefurgy — Coach/operator (with Steph Lefurgy),"Local basketball evenings for school-aged kids in Vernon and Lake Country, July camp, team camp, Mini Hoopers summer camp, skills development",,,private academy,Hoopstir (login links on site) — competitive intel,primary,https://www.rootssportsclub.ca/,
Community Elite,British Columbia,Metro Vancouver & Fraser Valley,Richmond,,,cmntyelite@gmail.com,https://www.community-elite.com/,,"Fall club teams U11-U16, summer camps (Young Hoopers U11-U13, Grind Hour U13-U17); mission of removing financial barriers",,,private academy,Squarespace online store checkout,verified,https://www.community-elite.com/,"Basketball BC member club 2025-26 (listed Vancouver-Coastal); coaches: Coach Rio (McMath Secondary head coach), Coach Ahmed, Coach Travis"
F.O.R.M. Basketball,British Columbia,Metro Vancouver,Vancouver,"BCIT Recreation Centre, Burnaby/Vancouver, BC (West-location training venue; no street address published)",,coaches@formbasketball.com,https://formbasketball.com,Paul Ekeocha — Founder & President (BBB profile lists him as Owner),,,,private academy,,reported,https://basketball604.com/basketball-clubs/,"Private academy (multi-city: Vancouver 'West' + Toronto/Kitchener-Waterloo 'East'). Exec board: Dr. Duriell Bernard (Director of Sports Science), Greg Fong (Head of Community Engagement), Sylvester Noel (Coaching Consultant); finance contact payments@formbasketball.com; media socialmedia@formbasketball.com. Registration via own site (/register) — no third-party platform identified. Sources: https://formbasketball.com/executive-board (principals), https://formbasketball.com/contact-us (emails, venue), https://www.bbb.org/ca/bc/vancouver/profile/basketball-clubs/form-basketball-academy-0037-2430572 (Ekeocha as owner)."
